Spacial_length	Spacial_width	Inclination
0.700	0.076619	versicolor
0.800	0.076936	versicolor
0.900	0.076671	versicolor
1.000	0.077028	versicolor
1.100	0.076911	versicolor
1.200	0.076907	versicolor
1.300	0.076993	versicolor
1.400	0.076905	versicolor
1.550	0.076587	versicolor
1.600	0.076954	versicolor
0.700	0.143610	setosa
0.800	0.144726	setosa
0.900	0.143043	setosa
1.000	0.142810	setosa
1.100	0.142961	setosa
1.200	0.142952	setosa
1.300	0.143184	setosa
1.400	0.143037	setosa
1.550	0.142989	setosa
1.600	0.143024	setosa
